hv_designation,mag_max,mag_min,period,log_period
SV* HV 1505,16.197,16.788,1.251169,0.097315975
SV* HV 1446,16.04,16.78,1.872142,0.272338786
SV* HV 1460 ,15.176,15.856,2.912762,0.464305
SV* HV 1425,14.937,15.574,4.547161,0.657740331
SV* HV 1742,14.735,15.413,4.987109,0.69784886
SV* HV 1646,14.654,15.178,5.233602,0.718800693
SV* HV 1649,14.688,15.326,5.323989,0.726237149
SV* HV 1492,14.3,14.916,6.291764,0.798772424
SV* HV 1400,14.512,14.91,6.648202,0.822704207
SV* HV 1355,14.218,14.716,7.482471,0.874045042
SV* HV 1374,14.226,14.747,8.396474,0.924096948
SV* HV 818,13.933,14.457,10.33349,1.014247024
SV* HV 1610,13.641,14.259,11.642846,1.066059153
SV* HV 1365,14.047,14.475,12.408811,1.09373017
SV* HV 1351 ,13.744,14.22,13.09077,1.116965193
SV* HV 827,13.447,13.969,13.463683,1.129163878
SV* HV 822,13.346,13.964,16.741969,1.223806533
SV* HV 823,12.464,13.104,31.927991,1.504171592
SV* HV 824,11.12,11.721,65.93666,1.819126944
SV* HV 821,10.566,11.256,128.196746,2.107877002